Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.573324,2473.873548,1490.351937,1438.588508,1587.042988,1758.673557,1909.642681,2023.94715,2217.057854,2347.5021,2572.42082,2915.455786,3382.060324,3958.329986,4518.262746,5339.901702,6274.028207,7380.23154,8097.305007,7045.330725,7331.386504,7881.771735,9267.397006,9822.947441,10114.93984,10132.31898,10966.85333,12509.63961,13549.52242,14924.77693,14105.91125,15676.32829,18965.72757
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12880.5512,13540.54926,13787.47977,14594.29594,15607.67206,14944.79579,15898.11574,16717.05224,17374.68638,17963.63813,19189.44832,18444.3153,18683.9884,19982.68658,21464.36543,23296.72403,26724.1973,29593.08035,29708.97175,25923.11203,23850.14027,23584.27145,22350.49328,21806.39202,21788.6401,21162.09279,21558.99543,21672.04489,23604.83696,24641.22935,20130.16905,22622.17612,26365.46898
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17380.88169,17835.35808,18253.58163,19215.96059,20170.5254,21038.66679,22132.1929,23124.96391,24378.24531,25485.39145,26541.66532,27645.83485,29032.49096,30121.81842,31763.77282,33036.58348,34846.71563,36653.84172,37532.99904,40312.39512,39374.60592,42025.46458,42866.60433,45936.04931,46914.38671,46292.09544,47289.28591,48418.55842,50251.33534,52011.51911,53216.46854,56180.98475,63216.14922
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19473.08196,20617.58298,21293.26486,21732.87109,22642.84773,23698.10913,24560.62401,25426.66281,26675.65024,27606.48303,29381.68488,29708.49357,31178.69333,32145.87051,33774.01809,35013.71404,37659.73297,39435.60574,41316.22518,40918.5201,42007.29375,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56937.94428,59700.86363,57235.54587,59828.88281,67874.90488
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253.446608,5321.810994,4149.746606,3217.651495,2603.601929,2317.590695,2366.638154,2522.628371,2779.615527,3000.925057,3381.66621,3770.852287,4159.940563,4639.794426,5159.859411,6740.424063,9243.497646,11732.84149,12969.20038,13972.59478,14678.77374,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14551.20011,15054.54461,14495.65697,15927.21015,17828.60839
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.3716475,648.3308671,652.5122225,647.4770436,632.4249539,559.8362994,524.6810684,525.8317273,546.7198398,535.9623371,532.4259199,542.0301902,559.1123373,545.7755393,566.0916315,567.7007004,595.2055657,609.5935955,625.2437396,620.8967338,630.358193,646.1031275,651.9523273,696.4970002,728.8700603,797.0501141,766.5872206,750.7876163,758.2490316,760.6041261,751.2009119,787.9427787,836.4645675
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18688.64674,19601.8239,20272.98859,20473.78684,21519.33807,22447.4638,22744.69966,23732.22107,24369.48672,25440.84119,27789.94355,28793.61105,30282.28865,30934.4414,32063.26079,33177.89095,35256.92838,36795.84715,37883.33194,37749.90919,39838.04051,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52530.56208,55804.83058,54679.1418,59508.67387,65478.44695
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.214582,1275.135741,1302.24048,1349.490345,1354.590804,1436.737626,1487.598078,1554.145493,1584.965406,1642.173165,1724.54671,1802.324598,1858.766765,1902.502923,1979.292899,2011.396677,2090.284255,2210.79271,2294.869878,2294.602793,2302.687791,2350.356452,2427.432659,2590.925045,2745.858612,2792.609645,2901.264671,2933.837384,3113.254758,3290.307,3364.973012,3665.193804,4057.451755
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.6301463,625.1781954,625.3228272,646.0470734,651.8797993,685.7886884,755.7081414,796.5891492,840.9844308,889.501251,899.5848205,951.314407,977.6685185,1041.898563,1083.249313,1176.357297,1248.873042,1295.467117,1356.372196,1364.895645,1454.578747,1536.808944,1568.066859,1629.317836,1637.928051,1657.916107,1833.433053,1978.155012,2100.530924,2195.355619,2206.612252,2401.228086,2549.934982
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.9480034,1028.28859,1088.740137,1144.970832,1191.835185,1255.48763,1313.073938,1370.959718,1431.061897,1490.19028,1574.33157,1659.711356,1717.970062,1803.138153,1916.452038,2074.011585,2253.209817,2451.542213,2625.406359,2751.217878,2906.05192,3119.929973,3493.922821,3734.725651,3997.286701,4216.719739,4558.563895,4830.776291,5247.694696,5699.078134,5904.567363,6522.555826,7397.545737
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7551.096451,7218.312718,6919.815996,7034.874678,7340.610389,7743.443229,6848.9937,5750.511715,6177.940847,5807.791822,6422.832771,6960.083304,7786.448422,8417.38546,9201.565675,10291.42387,11406.45662,12820.74831,14346.82983,14181.88787,14958.27228,15747.39237,16327.12876,16649.25249,17616.38795,18386.11253,20065.47934,21458.04936,23006.08106,25158.92227,25096.70491,27975.1743,33845.57635
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25731.16492,28594.09183,30129.96237,33643.63046,33149.57425,34045.39428,34962.95671,35548.65614,36559.27645,37570.91678,39360.43209,40186.94531,41161.56258,42900.81335,44006.71276,44780.11567,45651.59194,47380.16645,48078.84387,46708.73586,47929.44346,49960.26787,53778.48867,53672.10422,52073.98462,45900.70303,45281.30192,48929.44701,50114.15039,51879.73634,50682.75956,54901.51263,61248.18013
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20525.45338,19936.04426,19198.94919,19290.97322,19920.12349,20834.56613,21722.05001,22003.22063,22914.25222,24518.3605,25732.9965,26625.89831,27408.45,27229.95641,27829.52484,29274.64569,30511.05209,31344.19623,30761.92722,29242.29052,29629.25251,30053.67112,30723.17302,29911.91684,31255.38771,31746.80338,32112.20389,34067.84618,35647.13697,35780.75967,27595.96945,33614.73952,40942.77672
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.2494737,1166.999433,2155.164607,2844.360969,3270.700345,3601.9815,4127.638087,4290.625762,4653.131647,4911.659964,5405.608803,5959.024831,6878.322747,7696.110172,8595.781357,8698.911419,9089.089179,9757.991528,10109.3161,10788.20001,11148.38783,11826.07826,12869.66255,13582.26698,14801.32253,16118.50582,15871.60694,17484.90277,19990.81349
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5226.139652,5335.578799,4922.457217,4645.893572,4194.881095,3849.897232,4043.749903,4601.503085,5066.942834,5337.015841,5801.758126,6244.747743,6704.592281,7369.845904,8491.894834,9647.12118,11006.4559,12332.50292,13898.99968,14050.57155,15361.8317,16563.20141,18105.28672,18994.19019,19007.99732,18095.70342,17785.9432,18356.06606,19430.90921,20106.06891,20317.23192,21928.68576,22550.64044
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4460.736216,5047.703235,5702.919088,6072.681535,6068.637377,6083.620027,6075.912802,6226.488985,6315.115279,6771.940936,7524.977561,7828.2066,8121.277157,8806.397609,9192.028333,9405.616622,9840.065279,10142.56911,9895.089504,9645.413767,9638.917829,9588.608909,9096.728903,9278.691134,9191.04276,9250.639508,9088.987347,8798.699057,8929.624538,9303.718003,8010.944983,9740.070948,11189.86408
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34870.74775,34955.55828,35990.57811,37749.20837,38518.41744,40763.38661,42317.92417,44753.95873,46678.6018,48664.53995,53921.77368,58484.1524,58138.39981,60908.03971,63578.19228,66239.46679,71656.72358,75627.24753,75193.34639,71022.30785,70627.82219,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83380.8749,85145.94364,80381.44549,86699.25199,95868.78026
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.728914,2446.015661,2491.526708,2606.575801,2732.442114,2865.227046,2988.572101,3132.592373,3267.226137,3267.432226,3364.024366,3436.37487,3514.591376,3617.40341,3802.810904,4025.109046,4273.038123,4509.210554,4794.6037,4902.610577,5079.382721,5363.987903,5814.070135,6500.876807,6920.778861,6992.127581,7345.826841,8244.933446,8669.827849,8890.462954,8110.114756,8885.707639,9737.676068
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6617.944703,6793.807941,6797.153941,7183.895866,7644.218602,8008.05893,8208.219593,8504.681479,8503.697887,8541.710725,8994.743062,9202.876484,9510.823883,9693.555482,10407.83935,10954.86026,11614.49854,12522.51594,13281.07439,13222.74888,14254.51977,14989.15778,14994.34347,15535.72377,15664.80174,14692.63231,14208.16111,14477.86177,14971.05467,15307.94124,14900.10422,16260.09875,17827.64105
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9648.120217,9565.672132,9198.006658,9462.233514,9831.61099,10216.85881,10797.46556,11485.46018,12028.68251,12214.55429,13022.78415,12965.91796,13217.98748,13718.33759,14231.91706,15203.75684,16562.12509,17298.19957,17667.48137,16814.08293,16573.82236,16744.36654,15739.04167,15775.08686,15613.28135,15978.84185,16406.27369,16233.79215,16449.62857,16759.38084,14788.33368,15304.12928,18210.1343
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55168.25088,57099.02565,59512.9402,59542.96976,61175.54851,63693.09165,65179.13607,63863.7108,62830.2713,64276.50059,66212.60982,68169.50228,70522.90358,72627.3339,73618.9315,74921.41361,79312.33331,80302.21993,79040.28831,76993.47462,78784.82722,82300.65605,86588.60952,82305.27625,80027.9853,61572.6217,55477.4694,60173.05113,61084.25804,64029.443,65054.19432,66347.65806,69297.93271
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.898626,1585.9303,1764.347074,1930.837478,2068.040516,2233.872605,2356.879714,2483.070106,2610.458255,2789.277502,2866.752031,3091.69129,3395.993116,3642.276894,3871.063952,4197.302665,4561.347676,5476.797771,5780.845171,6139.82066,6878.602685,7498.955522,8140.41451,8233.168784,8949.740967,9839.287269,10866.38476,11619.06451,12218.50735,13061.59027,11802.31593,12795.35177,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5818.048031,6280.327242,6424.180936,6511.940032,6703.052249,7134.510141,7501.419817,8076.29333,8023.35235,8733.830745,8922.369978,8964.846692,9478.566744,9937.097046,10298.30689,10907.36705,11957.57524,12739.30275,13136.44087,11119.80616,12139.74973,12976.5292,12069.71852,12833.54392,14338.57408,13420.5066,15277.04232,14656.77299,15321.52235,15758.84288,14303.75579,16449.13886,18329.84926
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.1773245,632.0159695,585.9525806,582.8728009,605.1552947,644.3679787,613.6512745,639.2801578,658.4702554,672.8071176,652.3937607,681.3600112,701.3401453,660.417846,703.377201,715.7262427,757.6183289,798.8360794,813.8320694,870.4223047,902.7815842,945.5931285,1024.247563,683.9656325,670.1038234,733.7495807,787.4711684,839.6000095,875.1937178,898.3153199,895.2514772,924.9108953,973.2462704
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20229.75587,20224.68733,20626.20206,21440.04699,22632.83409,23485.64193,24050.17501,25258.86056,26319.67416,27841.35335,29362.08416,30230.80297,30963.053,32349.94366,33925.70673,36327.22865,38119.4132,39575.30975,40376.30688,38865.41346,40099.44824,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.17458,49992.76228,49832.40538,47226.36514,53023.42056,58347.66961
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7097.327119,6651.204471,6692.424526,6961.131897,7400.651458,7996.037736,8402.104598,8706.263574,9097.382662,9396.468918,10016.49843,10800.39853,11630.61621,12340.95283,13483.57484,14312.60491,15920.48972,17763.75705,19675.75006,19703.11156,20825.25586,22310.98977,23108.80294,23861.99783,24928.84385,26136.36886,27755.22739,29831.68043,32013.93414,34959.06002,34851.3727,37733.37957,42893.03274
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28462.62285,28793.54075,29114.08095,29496.77493,30266.95066,30843.41449,31508.76135,32733.99362,33858.67211,34742.63186,36697.62804,37819.01436,38704.95846,38737.12724,40175.64457,41524.84887,46272.85795,50924.37295,53808.78411,52973.46324,54438.9787,57493.58106,59440.91586,61656.46617,63417.04372,65265.04573,67350.75187,68193.50549,70688.81875,72668.74711,71010.43349,77181.37535,84649.9399
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437.05553,4872.139956,5533.63296,6026.750351,6473.88719,7250.189152,7959.486182,8581.435036,8927.836315,8921.984384,9468.318799,9876.226278,10239.38515,10820.67088,11735.17679,12685.02796,15676.58343,16875.71456,16550.44891,16118.37675,18104.7246,20330.5246,21584.68127,22425.58942,22779.42767,22691.48662,23492.28786,24546.91242,25564.53672,25600.1927,24941.23509,28337.07321,30208.80553
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.4192074,1093.566229,1262.025483,1454.491592,1660.34688,1860.525063,2060.8681,2266.728838,2448.482291,2650.178686,2917.24253,3208.229957,3532.081651,3938.730275,4427.131003,5056.404724,5842.778636,6818.923409,7581.453513,8305.760185,9254.779604,10292.94048,11168.6973,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15497.82574,16655.39936,17209.44295,19484.48616,21482.56218
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.253537,2744.91063,2698.279466,2657.932273,2640.380552,2787.38002,2952.262367,3180.317303,3242.547529,3227.520171,3202.951743,3121.727849,3007.357264,2852.020434,2952.041262,3005.998332,3116.371153,3166.671537,3310.47535,3379.412565,3577.706982,3384.930979,3483.689789,3801.616471,4254.230896,4579.85146,4693.675045,4836.048367,5060.59743,5350.010141,5377.394446,5866.495758,6540.462355
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.180376,1943.942149,1870.869795,1712.721313,1731.904671,1769.433732,1827.475086,1892.156976,1951.600648,2014.298885,2083.234248,2164.670413,2236.100696,2339.840649,2502.379084,2567.223587,2673.563213,2786.085597,2838.695078,2848.329956,2882.7507,2957.163456,3022.358011,3194.162032,3369.32489,3437.789826,3559.13512,3691.094724,3822.232765,3915.827499,3870.829433,4071.05347,4398.048919
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.096959,776.8816999,690.051405,591.9798276,554.0108303,546.246191,540.1624426,510.4731031,495.9580972,467.8942276,432.6993394,420.2721766,426.1746285,445.5148537,473.9589299,502.8971999,528.8716998,558.9001538,586.0287494,587.5528154,616.5323991,650.4366032,650.9215896,731.9328213,824.4124376,877.6808352,932.4051652,1023.539833,1073.446906,1104.843368,1102.553517,1184.720486,1337.834149
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429.411702,3530.7864,3605.204166,3551.369266,3331.574917,3442.723743,3559.743487,3525.355378,3620.050855,3482.032021,3687.232246,3769.265332,3910.797434,3910.654111,4016.429446,4305.869938,4616.63511,4267.756861,4473.227068,4827.907091,5152.51779,5204.000834,6062.822776,5810.922383,5683.80646,4652.662306,3944.496751,4345.519123,4244.596318,4267.621523,3958.924242,4083.093436,4335.055001
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5083.670494,5252.637023,5479.891585,5796.490513,6143.693277,6475.079252,6607.499178,6829.085078,6825.870768,6520.964545,6753.464794,6911.727494,7085.62081,7398.183502,7888.450084,8412.996829,9135.678975,9891.37577,10291.19999,10357.33409,10830.19512,11694.72661,12095.6485,12798.66319,13390.03195,13378.67515,13971.33959,14334.91461,15161.31797,15872.30898,15103.07382,17105.00247,20268.68239
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.473758,1442.888581,1563.789745,1612.221572,1526.289549,1580.235729,1554.552374,1610.090098,1614.172886,1635.195121,1818.022052,1864.204665,1898.09721,1937.861957,1989.610063,2069.178634,2146.123234,2177.670839,2261.348023,2301.971286,2367.778629,2464.354227,2655.734875,2795.243466,2887.065504,2884.774852,3053.302585,3240.17917,3374.041663,3430.21084,3402.871222,3562.544479,3833.738563
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.486667,1102.791479,1221.066183,1324.864016,1572.95184,1790.796473,1984.07798,2192.456172,2440.482102,2694.994132,3090.472389,3177.186895,3343.94051,3501.599578,3909.361813,4256.044521,4680.124627,5471.650916,5903.59523,5791.926305,5905.339326,6189.695734,6048.414068,6019.803303,5989.40483,6242.705232,6689.804951,7130.854152,7490.141372,8071.889116,6413.572927,7014.402518,8715.995684
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4962.082606,5114.676673,5570.652997,5957.793195,6207.287407,6446.063024,6501.022528,6820.10241,7231.77471,7486.053005,7796.430885,8099.712401,8363.810726,8756.921955,9248.126628,9772.464328,10658.27763,11680.5728,12297.21336,12103.38185,12740.34097,13410.35454,14174.6021,14851.13544,15905.14794,16925.17941,18898.07522,20168.22048,21144.40977,22608.23216,21693.67282,22764.12797,25237.1182
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6154.109535,6458.887231,6762.722551,7091.127545,7384.706487,7685.170623,8027.177598,8353.521513,8612.371826,9023.928742,9501.824209,9865.323402,10335.13162,11141.84162,11855.76943,12589.41483,13838.63726,14639.02546,15051.73946,14544.18442,14846.42472,15234.81337,15551.04498,15750.73812,15997.1774,15750.78442,15538.98592,16221.3132,16730.71707,17095.24657,15880.12789,17452.67722,21260.86832
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21888.34706,23054.70396,23478.24186,23520.55159,23788.37033,24078.37594,24587.77493,25369.98553,26091.9481,25950.14223,25953.0971,26251.36282,25186.85943,24981.95694,24583.79325,24348.85133,24032.9325,24795.59348,24988.31385,24917.40166,21022.19409,23272.91361,27302.21764
